path	sentence	gender	name	class
100_0.wav	Bună dimineața! Cod QR de scanat cu telefonul mobil ca să vedem ce se întâmplă la horoscop. E o zi cu energie.	fem	Neti Sandu	pozitiv
100_1.wav	Pornim în forță ca să ne putem atinge toate obiectivele, să dăm drumul și proiectelor noi ca să ne putem exprima total.	fem	Neti Sandu	pozitiv
100_11.wav	Vărsător. O să vă contacteze cineva care vede în voi șeful unui proiect de anvergură și o să vă lăsați curtați până o să vă dați acceptul.	fem	Neti Sandu	pozitiv
100_12.wav	Pești. Poate aveți de dat un examen, vă duceți la un interviu, o să fiți în atenția unor oameni dar o să primiți calificative de top.	fem	Neti Sandu	pozitiv
100_2.wav	Vibrația zilei este cinci și o să simțim gustul aventurii profesionale pentru că vrem să ne reinventăm.	fem	Neti Sandu	pozitiv
100_4.wav	Rac. Se observă cheltuieli, poate pentru că plecați pe undeva și o să vă bucurați că o să aveți un asemenea prilej care nu trebuie ratat.	fem	Neti Sandu	pozitiv
100_5.wav	Leu. Poate dați concurs pentru un post de conducere sau o să vă angajați undeva și totul o să meargă șnur.	fem	Neti Sandu	pozitiv
100_6.wav	Fecioara. O reușită după un parcurs anevoios. V-oți fi zbătut pentru niște aprobări și abia acum o să primiți ok-ul.	fem	Neti Sandu	pozitiv
100_7.wav	Balanța. O să vă alegeți o destinație turistică și vorbiți cu partenerii ca să știți cine e amator să vă însoțească și se vor găsi.	fem	Neti Sandu	pozitiv
100_9.wav	Săgetător. Vin de undeva niște bani și o să vă alegeți probabil o vacanță ca să mai și respirați după o perioadă de agitație.	fem	Neti Sandu	pozitiv
118_13.wav	Vărsător. Or să vă caute acei prieteni care știu că pot conta pe voi,	fem	Neti Sandu	pozitiv
118_15.wav	Pești. O să le faceți pe plac copiilor, nepoților, are loc o ceremonie de grup și poate fi o petrecere	fem	Neti Sandu	pozitiv
118_2.wav	Vibrația zilei este unu și să ne bucurăm de un nou început de succes.	fem	Neti Sandu	pozitiv
118_3.wav	Să vedem ce se întâmplă în fiecare dintre zodii. Gemeni. Vă invită cineva într-o excursie și nu e de refuzat așa ceva	fem	Neti Sandu	pozitiv
118_7.wav	Fecioara. Poate aveți ceva de discutat între patru ochi cu o persoană importantă și o să luați și o decizie la final.	fem	Neti Sandu	pozitiv
118_9.wav	Scorpion. Poate vă duceți la o ceremonie, se căsătoresc niște prieteni sau e o gală de premiere.	fem	Neti Sandu	pozitiv
11_1.wav	Vibrația zilei este cinci și aventura este cuvântul cheie al zilei. Aventură a cunoașterii.	fem	Neti Sandu	pozitiv
11_15.wav	Berbec. Se poate să vi se dea ceva nou de făcut la serviciu și să vă prindă ideea. Totul e să nu vă plictisiți înainte de a termina.	fem	Neti Sandu	pozitiv
11_18.wav	O zi frumoasă!	fem	Neti Sandu	pozitiv
11_5.wav	Fecioara. Poate dați de niște bilete de vacanță mai ieftine și o să plecați în călătorie	fem	Neti Sandu	pozitiv
11_8.wav	După ce oți fi întâmpinat tot felul de piedici și odată depășite o să vă focusați atenția pe familie	fem	Neti Sandu	negativ
120_0.wav	Bună dimineața! Cod QR de scanat cu telefonul mobil ca să vedem ce se întâmplă la horoscop. O zi cu de toate!	fem	Neti Sandu	pozitiv
120_11.wav	Vărsător. Poate îi dați de capăt unei povești de dragoste care s-a cam răcit așa, că or fi  fost acolo niște intriganți care au răspândit minciuni despre voi, mai știi.	fem	Neti Sandu	negativ
120_12.wav	Pești. Poate vă ocupați și de casa, asta ca să reamenajați interiorul, ca ați mai cumpărat câte ceva și faceți diverse lucruri și în grădină, poate.	fem	Neti Sandu	pozitiv
120_13.wav	Berbec. O să vă bucurați de revederea cuiva drag, dar nu o să fie poate omul în toanele cele mai bune.	fem	Neti Sandu	negativ
120_14.wav	Taur. Se poate să vă ocupați mare parte din zi de casă, o să trebăluiți doar două ore diseară așa, o să ieșiți și la distrație.	fem	Neti Sandu	negativ
120_3.wav	Poate vă face o vizită cineva pe care nu l-ați mai văzut de multă vreme și o să fie un schimb emoțional de valoare.	fem	Neti Sandu	pozitiv
120_4.wav	Rac. Încearcă să se apropie cineva de voi și să vă cunoașteți în vederea unei relații și păreți destiniși, altfel decât de obicei.	fem	Neti Sandu	pozitiv
120_6.wav	Fecioara. Se poate să recuperați niște bani pentru care vă zbateți de ceva vreme și o să aveți succes să ieșiți în oraș, la un suc, o înghețată.	fem	Neti Sandu	pozitiv
120_7.wav	Balanța. O să vă puteți pune în valoare prin ce veți prezenta acolo într-un cadru public, poate și ținuta voastră o să creeze impresie bună și o să străluciți.	fem	Neti Sandu	pozitiv
120_8.wav	Scorpion. O să aveți succes la orice fel de încercări, la un concurs, la un interviu, dacă vreți să vă înscrieți într-un grup care să se adune în timpul liber.	fem	Neti Sandu	pozitiv
120_9.wav	Săgetător. Are cineva să vă dea înapoi niște bani și o să vă puteți repezi într-o stațiune de agrement ca să faceți un pic de mișcare.	fem	Neti Sandu	pozitiv
127_0.wav	Cod QR pe aici, descarat cu telefonul mobil, ca să vedem ce se întâmplă la horoscop. O zi cu vești amestecate.	fem	Neti Sandu	negativ
127_1.wav	O să dăm zor să ne achităm de toate datoriile, atât materiale cât și morale, și să privim cu încredere spre viitor.	fem	Neti Sandu	pozitiv
127_10.wav	Săgetător. Se poate să se încheie un parcurs și să aveți un câștig de cauză și o să vă revină o proprietate, custodia copiilor, mai multe.	fem	Neti Sandu	pozitiv
127_12.wav	Vărsător. Poate aveți de achitat impozite, asigurări pentru casă, mașină și o să păstrați bani pentru vacanță.	fem	Neti Sandu	negativ
127_14.wav	Berbec. Poate o să faceți un drum în străinătate, fie cu treabă, fie pentru că vă așteaptă careva acolo și o să fie cu încărcătură emoțională.	fem	Neti Sandu	pozitiv
127_15.wav	Taur. Se poate să apară cineva care să vă facă fericit și să vă schimbe viața în bine. O zi cu vești amestecate.	fem	Neti Sandu	pozitiv
127_4.wav	E posibil să vină un angajator cu ofertă de colaborare și o să vă încânteți suma de bani ca să aveți pentru concediu.	fem	Neti Sandu	pozitiv
127_6.wav	Leu. Răspunsul pe care l-așteptați de la cineva drag o să sosească, dar e posibil să vă pună puțin pe gânduri, așa?	fem	Neti Sandu	pozitiv
127_7.wav	Fecioara. O să vi se dea de lucru mai mult decât de obicei, dar trebuie să aveți grijă de sănătate, că nu e punctul vostru forte acum.	fem	Neti Sandu	negativ
127_9.wav	Scorpion. Relația cu partenerul de cuplu poate avansa spre o căsătorie și dacă aveți și unde locui, atunci o să fie perfect.	fem	Neti Sandu	pozitiv
129_15.wav	Capricorn. Se poate să vi se aprobe fie un împrumut, fie o amânare a unor rate, că aveți alte cheltuieli neprevăzute luna asta.	fem	Neti Sandu	pozitiv
129_16.wav	Vărsător. Vi se face curte și dacă sunteți într-o relație, nu vă interesează, e clar,	fem	Neti Sandu	pozitiv
129_19.wav	O să vă alegeți o preocupare de timp liber care să vă deconecteze, poate practicați un sport sau vă cultivați niște calități, un hobby.	fem	Neti Sandu	pozitiv
129_20.wav	Taur. O să perfectați sfera comunicării și poate vă impuneți punctul de vedere pe o platformă online	fem	Neti Sandu	pozitiv
129_5.wav	Sunteți prinsi cu multe treburi și o să fie un efort acolo să vă achitați de toate obligațiile,	fem	Neti Sandu	negativ
135_12.wav	Să nu treziți vreun sentiment de gelozie că ar fi păcat daca tot nu e nimic.	fem	Neti Sandu	negativ
135_13.wav	Pești. Poate le faceți o surpriză copiilor, nepoților și o să vă duceți într-o excursie.	fem	Neti Sandu	pozitiv
135_15.wav	Berbec. O să scoateți cu ușurință niste bani din buzunar și o să le faceți o surpriză unor prieteni din alt oraș că, le faceți o vizita inopinată.	fem	Neti Sandu	pozitiv
135_16.wav	Taur. Poate vă rupeți două-trei ore din timpul liber și vă duceți la un grătar, la cineva care locuiește cam departe, dar o să vă placa și drumul.	fem	Neti Sandu	pozitiv
135_4.wav	Rac. Se poate să dați o fugă la malul marii sau altundeva că să vă luați acea gură de oxigen care v-ar remonta.	fem	Neti Sandu	pozitiv
135_5.wav	Leu. Poate vă duceți într-un parc de agrement, îi luați și pe copii și o să fie distracție, nu glumă.	fem	Neti Sandu	pozitiv
135_7.wav	Balanța. Se poate să vă invite cineva la un spectacol, la o festivitate și o să vă destindeți.	fem	Neti Sandu	pozitiv
135_8.wav	SCORPION. E cineva de departe care e in trecere si vrea sa va intalniti daca n-aveti alt program la voi acasa ori in oras.	fem	Neti Sandu	pozitiv
135_9.wav	Săgetător. Se poate să vă scoață la o cafea de afaceri un posibil partener de muncă și o să vă propună un proiect incitant.	fem	Neti Sandu	pozitiv
139_0.wav	Avem luna nouă pentru astăzi, soare și lună în zodia taurului. E o zi bună pentru evaluări.	fem	Neti Sandu	pozitiv
139_11.wav	Săgetător. O să vă scoată la cafea cineva care vrea să vă propună un business și o să vă consultați agenda să vedeți dacă aveți timp sau nu.	fem	Neti Sandu	pozitiv
139_13.wav	Vărsător. Poate vă luați vreo două zile cazare pe undeva ca să vă eliberați de griji, să vă recapătați forțele fizice, psihice.	fem	Neti Sandu	pozitiv
